Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
60,"team365 长沙市雅礼中学",5,05:38:08,,01:04:17,,,,,,00:43:38,"00:51:14 (-1)","02:08:01 (-1)",00:10:58,
61,"team306 北京邮电大学",5,05:43:46,,"01:00:30 (-2)",,,,(-5),,00:45:02,01:30:39,01:28:57,00:18:38,
62,"team875 复旦大学",5,06:21:53,,"01:09:17 (-2)",,,,(-5),(-2),00:31:26,00:29:39,"02:17:29 (-2)","00:14:02 (-1)",
63,"team619 绍兴一中",5,06:25:19,,"00:42:51 (-1)",,,,(-4),(-4),"00:30:05 (-1)","00:29:53 (-3)","01:26:23 (-2)","00:16:07 (-2)",
64,"team675 南京大学",5,06:30:56,,"00:51:01 (-1)",,,,,,00:27:08,"00:53:34 (-2)",02:59:20,00:19:53,
65,"team879 复旦大学",5,06:36:49,(-1),01:14:05,,,,(-1),,00:58:07,00:20:58,"03:08:09 (-1)","00:15:30 (-1)",
66,"team105 南京外国语学校",5,06:37:45,(-1),00:39:16,,,,,,00:07:11,"01:16:43 (-4)","02:17:31 (-1)","00:17:04 (-1)",
67,"team1046 湖南师范大学附属中学",5,06:41:52,(-4),"01:18:43 (-4)",,,,,,00:30:36,00:45:04,"01:50:19 (-1)","00:17:10 (-1)",
68,"team067 浙江工业大学",5,06:53:52,,"01:47:41 (-2)",,,,(-2),,00:33:42,"01:10:23 (-1)",02:04:49,00:17:17,
69,"team723 西安电子科技大学",5,06:54:35,,01:06:26,,,,,,00:30:24,01:17:25,02:40:18,"00:40:02 (-2)",
70,"team313 北京邮电大学",5,06:56:44,,"02:05:42 (-1)",,,,,,00:24:25,"01:00:58 (-1)",02:34:14,00:11:25,
71,"team648 西南科技大学",5,06:59:12,,01:52:32,,,,,,00:17:10,00:52:27,"03:13:31 (-1)",00:23:32,
72,"team132 浙大宁波理工学院",5,07:04:20,(-1),01:40:11,,,,(-4),,00:23:09,"01:15:15 (-1)",03:10:36,00:15:09,
73,"team442 杭州师范大学",5,07:04:37,,01:19:21,,,,,,00:36:38,"00:50:48 (-1)",03:38:06,00:19:44,
74,"team033 中国传媒大学",5,07:05:20,(-1),"01:31:47 (-1)",,,,,,00:13:48,"01:02:49 (-1)",02:52:45,"00:24:11 (-1)",
75,"team935 哈尔滨工业大学",5,07:08:39,,"01:31:55 (-1)",,,(-7),,,00:42:34,"01:12:22 (-1)",02:28:57,00:32:51,
76,"team484 华南理工大学",5,07:13:27,,"01:13:05 (-1)",,,,,,00:29:03,01:19:43,03:14:37,"00:16:59 (-1)",
77,"team1008 杭州电子科技大学",5,07:18:56,,"01:27:24 (-2)",,,,,,00:32:14,00:46:26,"02:36:29 (-1)","00:16:23 (-2)",
78,"team367 长沙市雅礼中学",5,07:19:37,,"01:20:29 (-2)",,,,,,00:17:11,"00:56:19 (-5)",01:51:35,"00:14:03 (-1)",
79,"team752 华中师范大学",5,07:25:17,,01:58:29,,,,,,00:31:20,01:07:15,03:30:38,00:17:35,
80,"team840 南京大学",5,07:27:39,(-1),01:10:43,,,,(-1),,"00:29:45 (-1)","01:12:19 (-4)","01:53:39 (-1)","00:21:13 (-1)",
81,"team305 北京邮电大学",5,07:30:58,,00:49:22,,,,,,00:52:19,"01:17:36 (-4)",02:59:40,00:12:01,
82,"team1004 杭州电子科技大学",5,07:32:08,,"00:54:53 (-1)",,,,,,"00:19:03 (-1)",01:15:53,"02:37:23 (-3)","00:24:56 (-1)",
