Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
39,"team141 上海理工大学",8,15:26:59,"00:21:37 (-1)","02:46:59 (-3)",00:04:54,00:20:53,"01:22:40 (-1)",(-1),00:58:39,"03:26:20 (-6)",,(-5),"02:04:57 (-1)"
40,"team970 天津大学",8,15:51:58,"00:36:02 (-1)",02:36:58,00:49:12,"00:32:13 (-1)",01:28:45,,01:30:26,"03:33:28 (-1)",,,"03:24:54 (-1)"
41,"team264 北京理工大学",8,15:54:27,"00:28:50 (-1)",01:44:38,00:24:53,00:36:24,"02:10:05 (-2)",(-1),02:01:35,"03:49:23 (-2)",,,02:58:39
42,"team367 长沙市雅礼中学",8,16:34:45,"00:30:54 (-2)","02:01:53 (-3)",00:17:24,"00:29:35 (-1)",00:44:50,(-1),02:34:58,04:16:14,,,"03:18:57 (-1)"
43,"team682 南京大学",8,16:41:17,00:23:47,"02:04:28 (-1)","00:16:42 (-1)",00:29:18,01:22:23,,01:22:17,"04:27:58 (-1)",,,"04:14:24 (-3)"
44,"team873 复旦大学",8,16:55:27,"00:23:52 (-1)","02:16:05 (-1)","00:45:52 (-1)",00:31:26,"01:42:52 (-1)",,01:24:19,"03:00:21 (-3)",(-1),,"03:50:40 (-2)"
45,"team128 南京外国语学校",8,17:26:42,"00:16:04 (-2)","02:45:36 (-1)","00:33:41 (-2)","00:30:39 (-1)",01:15:30,,01:31:04,"04:28:22 (-2)",03:25:46,,(-8)
46,"team366 长沙市雅礼中学",8,17:51:34,00:16:25,"04:40:40 (-10)",00:26:50,00:38:49,01:16:22,,00:57:05,03:38:42,,,02:36:41
47,"team124 南京外国语学校",8,18:02:01,"00:18:05 (-1)","02:23:37 (-2)",00:13:58,00:23:50,01:17:07,,00:46:39,"03:16:25 (-7)",,,"03:42:20 (-7)"
48,"team872 复旦大学",8,18:31:13,"01:17:58 (-2)",03:43:02,00:34:45,00:28:34,01:38:38,,"01:22:47 (-1)",03:26:07,,,"04:39:22 (-1)"
49,"team382 华南师范大学附属中学",8,18:49:36,00:29:37,02:27:15,"00:32:18 (-1)",00:24:26,01:19:18,,01:29:12,"04:54:47 (-4)",,"04:12:43 (-4)",(-5)
50,"team775 西安交通大学",8,19:23:02,"01:00:42 (-1)","03:52:06 (-2)","00:22:55 (-1)","02:11:35 (-1)",02:04:47,,01:42:44,"03:38:50 (-2)",,,"01:09:23 (-3)"
51,"team061 浙江工业大学",8,19:43:27,"00:23:11 (-1)","01:20:17 (-2)","00:24:07 (-1)",00:36:49,"01:49:34 (-1)",,01:18:22,"04:38:47 (-8)",,,"03:52:20 (-3)"
52,"team1053 中山市中山纪念中学",8,19:48:28,"01:08:52 (-2)",02:29:23,"01:03:41 (-2)","01:29:03 (-1)",01:45:32,(-4),01:24:18,"03:11:58 (-4)",(-10),,"01:55:41 (-7)"
53,"team685 南京大学",8,20:34:01,00:21:36,"02:53:32 (-1)",00:13:57,00:24:47,"01:58:58 (-1)",,01:14:51,"04:48:42 (-11)",,,"03:17:38 (-3)"
54,"team050 东北大学",8,21:00:36,00:30:57,"03:55:34 (-1)","00:53:04 (-2)",00:38:25,03:22:00,,03:05:57,04:21:27,,(-1),"02:53:12 (-1)"
55,"team1007 杭州电子科技大学",8,21:37:15,"01:11:02 (-4)","03:39:52 (-2)",00:32:02,00:53:15,00:27:43,,02:26:40,"03:47:42 (-1)",,,"04:38:59 (-5)"
56,"team1024 高老师训练营（中学）",8,21:49:38,"00:30:24 (-2)","03:04:44 (-11)","00:59:47 (-2)",00:16:27,"01:13:51 (-1)",,00:34:27,"03:33:48 (-4)",,,"03:56:10 (-3)"
57,"team993 东南大学",8,22:31:33,"00:36:18 (-2)","03:46:32 (-15)","00:36:45 (-1)",00:48:45,01:05:21,,00:54:41,"04:35:23 (-2)",,,"03:07:48 (-1)"
58,"team409 厦门双十中学",8,22:37:26,"00:30:06 (-1)","04:34:08 (-8)","00:16:44 (-1)",00:21:28,"02:21:11 (-3)",,01:16:13,"04:10:29 (-2)",,,"03:27:07 (-2)"
59,"team621 海亮高级中学",8,22:46:29,"01:18:50 (-4)","02:54:09 (-2)",00:25:23,"00:48:59 (-1)",01:34:47,,"03:19:11 (-3)","03:58:33 (-5)",(-4),,03:26:37
60,"team295 南方科技大学",8,22:53:50,"00:32:46 (-6)","04:16:16 (-8)",00:26:20,00:49:06,"01:35:56 (-2)",,"01:06:38 (-1)","04:36:57 (-2)",,,"02:49:51 (-1)"
61,"team193 东莞中学松山湖学校",8,23:05:12,"00:46:31 (-3)","04:56:32 (-16)","00:22:03 (-2)",00:29:58,01:47:28,(-1),00:54:12,02:37:01,04:11:27,,(-13)
62,"team875 复旦大学",8,23:52:40,"00:30:44 (-3)","04:54:26 (-7)",00:32:02,00:56:00,"02:16:21 (-2)",,01:48:28,"03:47:59 (-1)",,,04:46:40
63,"team111 南京外国语学校",8,24:46:25,"00:47:38 (-3)","03:57:24 (-3)","01:11:13 (-2)",00:32:02,"01:57:30 (-5)",,02:16:18,"04:24:42 (-4)",,,"03:19:38 (-2)"
64,"team091 长沙理工大学",8,24:52:21,"00:28:19 (-2)",02:34:19,00:40:26,"00:54:16 (-2)",01:41:17,,01:20:54,"04:58:36 (-7)",,,"04:54:14 (-11)"
65,"team905 北京大学",8,25:53:47,"02:06:51 (-1)","02:03:48 (-2)",04:07:30,03:50:30,04:20:59,03:38:58,04:03:37,(-3),,00:41:34,
66,"team1029 金陵中学河西分校",8,26:30:24,00:09:59,"04:22:33 (-48)",00:19:51,00:22:09,00:55:01,,00:37:23,"01:04:41 (-2)",,,"01:38:47 (-1)"
67,"team112 南京外国语学校",8,29:17:17,"01:08:12 (-7)","03:00:12 (-2)",00:26:24,"00:52:05 (-1)",01:08:24,,"01:29:51 (-1)",04:15:08,,(-7),"04:57:01 (-25)"
68,"team952 杭州第二中学",7,08:37:10,"00:21:35 (-1)","01:24:48 (-2)",00:30:15,"01:00:19 (-3)",00:54:39,,00:30:20,01:55:14,,,
69,"team715 吉林大学",7,09:40:24,00:27:39,00:44:52,00:29:31,00:51:00,"03:00:05 (-2)",,01:12:07,02:15:10,,,(-4)
70,"team617 绍兴一中",7,10:51:16,"00:12:01 (-1)",03:28:45,00:20:31,00:29:32,00:45:53,,01:10:29,04:04:05,,,
71,"team802 哈尔滨工业大学",7,10:52:05,00:21:36,"02:04:19 (-1)",00:12:15,"00:50:19 (-1)","01:30:46 (-2)",,00:31:12,"03:01:38 (-3)",,,(-2)
72,"team263 北京理工大学",7,11:33:56,00:42:47,02:49:57,00:19:13,00:51:55,"01:16:56 (-1)",,00:31:34,,,,"04:01:34 (-2)"
73,"team501 南京航空航天大学",7,11:43:38,"00:41:05 (-2)",02:39:46,00:20:19,00:36:25,"01:28:53 (-1)",,01:35:54,03:21:16,,,
74,"team882 复旦大学",7,11:44:11,"00:20:40 (-1)",01:25:01,00:38:21,"00:31:31 (-1)",02:06:59,,01:50:28,(-4),(-2),,"03:31:11 (-2)"
75,"team581 福州大学",7,12:22:07,"00:29:03 (-2)","02:28:40 (-1)",00:24:18,00:44:53,"01:38:32 (-1)",,"01:46:56 (-2)",02:49:45,(-4),,(-5)
76,"team964 浙江师范大学",7,12:38:11,"00:40:27 (-1)",02:21:31,00:11:16,01:04:39,01:44:25,,01:18:51,"04:17:02 (-2)",,,(-8)
77,"team117 南京外国语学校",7,12:41:44,00:17:09,02:59:01,00:26:35,00:34:43,01:47:26,,01:27:10,,,,"04:49:40 (-1)"
78,"team674 南京大学",7,12:43:01,00:20:11,"02:07:03 (-2)","00:22:59 (-1)",00:43:07,"01:12:05 (-2)",,02:00:36,(-1),,(-3),"03:37:00 (-2)"
79,"team1005 杭州电子科技大学",7,13:20:56,"00:34:19 (-1)","03:29:38 (-1)",00:22:42,00:35:42,01:25:01,,01:40:49,"03:52:45 (-2)",,,(-2)
80,"team580 福州大学",7,13:24:11,00:22:03,"03:05:11 (-2)",00:29:22,00:55:55,01:22:07,,01:50:51,"04:18:42 (-1)",,,(-6)
81,"team884 河海大学",7,13:34:39,00:34:18,"02:21:47 (-3)",00:22:31,00:38:57,01:28:22,,00:58:01,"04:50:43 (-4)",,,(-1)
82,"team266 北京理工大学",7,14:14:07,00:25:23,"03:02:17 (-7)","00:25:44 (-3)",00:46:26,01:24:35,(-10),01:16:30,(-3),,(-1),"02:53:12 (-2)"
83,"team481 华南理工大学",7,14:22:34,"00:38:58 (-1)",03:31:20,00:12:44,00:19:36,"01:31:31 (-1)",,"02:05:01 (-2)",04:43:24,,,
84,"team678 南京大学",7,14:32:40,"01:16:35 (-1)",03:24:56,00:42:32,00:29:29,02:28:19,03:08:00,02:42:49,,,,
85,"team874 复旦大学",7,14:44:36,"00:20:56 (-1)",02:46:39,"00:39:39 (-1)","01:02:41 (-1)","02:06:24 (-2)",,01:44:58,"03:23:19 (-3)",(-4),,
86,"team1003 杭州电子科技大学",7,14:45:32,01:12:27,02:10:05,"00:59:06 (-1)","00:32:52 (-1)","02:18:25 (-1)",,01:34:27,"03:18:10 (-5)",,(-2),(-5)
87,"team385 华南师范大学附属中学",7,14:58:25,"00:16:51 (-1)","02:33:42 (-4)","00:19:46 (-1)","00:42:59 (-1)",00:41:35,,"01:26:08 (-1)","04:37:24 (-5)",,,(-41)
88,"team446 西安电子科技大学",7,15:08:57,"00:39:58 (-2)","02:10:01 (-1)",00:25:55,00:42:09,"01:45:04 (-2)",,"01:41:14 (-2)","04:04:36 (-4)",,,(-1)
89,"team1058 中山市中山纪念中学",7,15:16:40,"00:45:07 (-3)",02:16:18,"00:26:53 (-2)",00:27:58,"02:26:12 (-1)",,01:41:24,"04:12:48 (-3)",,,(-6)
