Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
359,"team404 北京邮电大学",3,09:09:49,00:08:12,(-3),(-4),(-1),,"01:45:57 (-2)",,,,"04:35:40 (-6)",
360,"team125 山东理工大学",3,09:11:22,00:15:26,,,,,"04:55:20 (-1)",,,,"03:00:36 (-2)",
361,"team020 上海理工大学",3,09:14:22,00:07:28,"02:41:26 (-4)",,,,"04:05:28 (-3)",,,,,
362,"team410 北京邮电大学",3,09:30:39,"00:44:06 (-2)",,,,,"04:03:52 (-1)",,,,"02:42:41 (-3)",
363,"team738 四川大学",3,09:32:59,00:10:46,"03:41:37 (-2)",,,,,,,,"04:40:36 (-1)",
364,"team994 浙江理工大学",3,09:53:56,"00:25:10 (-3)",,,,,"04:08:26 (-5)",,,,02:40:20,
365,"team648 南通大学",3,09:59:19,"00:10:54 (-1)","04:22:42 (-1)",,,,"03:45:43 (-3)",,,,(-16),
366,"team344 天津工业大学",3,10:07:58,"00:21:22 (-3)",,,03:50:43,,"04:35:53 (-1)",,,,,
367,"team129 合肥工业大学宣城校区",3,10:13:08,"00:14:04 (-2)",(-7),(-1),,,"03:18:36 (-6)",,,,"02:40:28 (-4)",
368,"team555 福州大学",3,10:16:36,"00:24:23 (-2)",(-5),,,,"03:16:44 (-3)",,,,"04:35:29 (-1)",
369,"team330 浙江财经大学",3,10:21:52,00:14:32,(-3),,,,"03:08:23 (-1)",,,,"04:18:57 (-7)",
370,"team206 西南民族大学",3,10:29:09,00:11:00,"04:16:16 (-7)",,,,,,,,"03:21:53 (-1)",
371,"team388 南京邮电大学通达学院",3,10:32:51,"00:10:40 (-1)",,,(-4),,"04:22:46 (-12)",,,,01:39:25,
372,"team241 北京林业大学",3,10:35:40,"00:46:17 (-3)",,,,,"04:36:46 (-5)",,,,02:32:37,
373,"team197 广东工业大学",3,10:36:13,"00:34:09 (-3)","03:17:00 (-6)",,,,(-18),,,,03:45:04,
374,"team642 郑州轻工业大学",3,10:39:38,"00:25:49 (-2)",,,,,03:59:57,,,,"04:33:52 (-3)",
375,"team832 中国地质大学（北京）",3,10:41:21,"00:22:44 (-2)",(-2),,,,"04:17:16 (-10)",,,,02:01:21,
376,"team764 重庆大学",3,10:51:32,"00:58:36 (-2)",(-6),(-2),,,"04:46:19 (-9)",,,,01:26:37,
377,"team836 中国地质大学（北京）",3,10:53:32,"01:01:25 (-5)",,(-3),,(-1),"04:44:31 (-6)",,,,01:27:36,
378,"team190 广东工业大学",3,11:01:07,00:12:23,,,,,"04:50:36 (-4)",,,,"03:58:08 (-2)",
379,"team736 四川大学",3,11:05:35,"00:18:51 (-2)",(-10),,,,"03:54:46 (-5)",,,,"02:51:58 (-5)",
380,"team321 福建师范大学",3,11:26:34,00:12:24,,,,,"04:18:21 (-6)",,,,"02:55:49 (-6)",
381,"team372 重庆邮电大学",3,11:40:40,"00:08:17 (-1)",(-2),,,,"04:46:02 (-7)",,,,"03:46:21 (-1)",
382,"team023 东北大学",3,12:07:04,"00:30:34 (-4)",(-15),,"04:58:49 (-3)",,"03:17:41 (-3)",,,,(-2),
383,"team455 武汉商学院",3,12:23:32,"00:28:21 (-7)",,,,,"03:23:57 (-14)",,,,"01:11:14 (-1)",
384,"team1134 湖南师范大学附属中学",3,12:25:47,"00:17:44 (-1)",(-25),,,,"04:01:47 (-6)",,,,"02:26:16 (-10)",
385,"team232 浙江工商大学",3,12:52:29,"00:20:03 (-1)",(-1),,,,"03:53:13 (-7)",,,,"03:39:13 (-7)",
386,"team173 南京大学",3,13:10:00,00:16:50,,,,,"03:43:04 (-1)",,,,"02:30:06 (-19)",
387,"team112 福建工程学院",3,13:34:01,"00:20:33 (-2)",,,(-1),,"03:00:19 (-10)",,,,"04:53:09 (-4)",
388,"team833 中国地质大学（北京）",3,15:27:08,"00:06:34 (-1)","03:58:03 (-12)",(-5),,,(-2),,,,"03:42:31 (-10)",
389,"team469 武汉大学",3,17:55:49,"00:12:30 (-1)",(-2),(-9),,,01:32:01,"04:31:18 (-34)",,,,
390,"team980 中山大学",2,01:03:02,00:10:07,,,,,,,,,00:52:55,
391,"team170 南京大学",2,01:09:26,00:11:44,,,,,(-2),,,,00:57:42,
392,"team906 南京理工大学",2,01:17:41,"00:22:07 (-1)",(-5),,,,00:35:34,,,,(-22),
393,"team422 湖南大学",2,01:20:47,00:15:05,(-1),,,,,,,,"00:45:42 (-1)",
394,"team791 衢州第二中学",2,01:34:56,"00:15:14 (-1)",,,,,,,,,"00:39:42 (-1)",
395,"team975 中山市中山纪念中学",2,01:40:33,00:16:09,,,,,(-2),,,,"01:04:24 (-1)",
396,"team857 长春理工大学",2,01:52:50,00:06:14,(-9),,,,"01:26:36 (-1)",,,,,
397,"team893 青岛科技大学",2,02:10:03,00:07:04,,,,,02:02:59,,,(-1),(-11),
398,"team156 浙大宁波理工学院",2,02:10:13,00:13:14,,,,,(-6),,,,01:56:59,
399,"team479 北方工业大学",2,02:17:00,"00:46:13 (-1)",,,,,,,,,01:10:47,
400,"team322 福建师范大学",2,02:17:17,00:16:34,,,,,(-5),,,,02:00:43,
401,"team111 福建工程学院",2,02:18:36,"00:11:21 (-1)",(-24),,,,01:47:15,,,,(-32),
402,"team1046 雅礼中学",2,02:27:24,"00:25:03 (-1)",01:42:21,,,,(-1),,(-1),,(-15),
403,"team211 中国传媒大学",2,02:32:43,"00:13:50 (-1)",,(-4),,,01:58:53,,,,,
404,"team361 中南民族大学",2,02:35:28,00:12:39,(-4),(-3),,,(-4),,,,02:22:49,
405,"team703 吉林大学",2,02:36:12,"00:17:39 (-3)",(-5),,,,01:18:33,,,,(-4),
406,"team1037 西北农林科技大学",2,02:36:38,00:06:11,"01:50:27 (-2)",,,,(-5),,,,(-1),
407,"team748 上海理工大学",2,02:39:50,"00:17:26 (-1)","01:42:24 (-1)",,,,,,,,(-1),
408,"team354 武汉大学",2,02:45:17,"00:05:53 (-2)",(-9),(-1),,,01:59:24,,,,(-5),
409,"team395 长安大学",2,02:46:57,00:19:46,,,,,,,,,02:27:11,
410,"team373 重庆邮电大学",2,02:49:40,00:10:28,(-7),,,,"01:59:12 (-2)",,,,,
411,"team661 湖南城市学院",2,02:51:09,"00:26:25 (-1)",,,,,,,,,"01:44:44 (-1)",
412,"team711 中国矿业大学",2,02:54:41,"00:35:02 (-4)",,,,,,,,,00:59:39,
413,"team744 湖南人文科技学院",2,02:57:19,"00:17:16 (-3)",,(-4),(-8),,01:40:03,,,,(-5),
414,"team596 天津大学",2,03:05:02,00:08:42,(-3),,,,02:56:20,,,,(-7),
415,"team032 浙江中医药大学",2,03:10:35,"00:10:16 (-1)",(-1),(-3),(-3),,"02:20:19 (-1)",,,,(-1),
416,"team121 山东理工大学",2,03:12:19,00:16:11,(-18),,,,02:56:08,,,,(-13),
417,"team714 中国矿业大学",2,03:15:42,"00:11:39 (-1)",,,,,(-8),,,,"02:04:03 (-2)",
418,"team933 华南师范大学",2,03:22:30,"00:23:23 (-2)",(-4),(-1),,,"01:59:07 (-1)",,,,,
419,"team805 南京邮电大学",2,03:24:24,"00:22:53 (-2)",,,,,02:21:31,,,,(-4),
420,"team694 同济大学",2,03:26:58,"00:13:35 (-2)",,,,,02:33:23,,,,(-4),
421,"team259 浙江农林大学",2,03:30:09,00:19:22,,,,,"02:50:47 (-1)",,,,,
422,"team412 北京邮电大学",2,03:31:28,"00:20:54 (-2)",,,,,"01:50:34 (-2)",,,,(-7),
423,"team136 南京信息工程大学",2,03:31:32,00:14:06,(-2),(-8),(-1),,(-10),,,,"02:57:26 (-1)",
424,"team117 黑龙江大学",2,03:31:50,00:20:20,(-1),,,,(-1),,,,"02:51:30 (-1)",
425,"team865 长沙理工大学",2,03:35:50,"00:31:22 (-3)",(-2),(-1),,,(-2),,,,"01:44:28 (-1)",(-1)
426,"team095 北京化工大学",2,03:38:08,00:07:17,(-17),,,,"03:10:51 (-1)",,,,,
427,"team751 上海大学",2,03:38:43,00:08:06,,,,,(-1),,,,"03:10:37 (-1)",
428,"team004 广西大学",2,03:39:26,00:21:23,,,,,,,,,03:18:03,
429,"team411 北京邮电大学",2,03:40:30,"00:34:01 (-3)",(-13),,,,02:06:29,,,,(-6),
430,"team614 哈尔滨理工大学",2,03:42:54,00:14:33,,,,,,,,,03:28:21,
431,"team535 南京工业大学",2,03:43:26,00:36:42,(-5),,,,,,,,"02:26:44 (-2)",
432,"team848 哈尔滨工业大学（威海）",2,03:44:46,"00:17:29 (-3)",,,,,,,,,02:27:17,
433,"team280 吉首大学",2,03:46:32,"00:14:19 (-1)",,,,,03:12:13,,,,(-2),
434,"team486 莆田学院",2,03:47:25,"00:14:51 (-1)",(-4),(-9),,,"02:32:34 (-2)",,,,,
435,"team168 闽南师范大学",2,03:49:54,00:18:53,,,,,"03:11:01 (-1)",,,,(-5),
436,"team240 北京林业大学",2,03:53:56,00:09:51,(-8),,,,,,,,"03:24:05 (-1)",
437,"team494 湖南农业大学",2,03:53:57,"00:17:45 (-1)",,,,,,,,,"02:56:12 (-1)",
438,"team046 浙江工业大学",2,03:54:02,"00:19:20 (-2)",,,,,02:54:42,,,,(-7),
439,"team123 山东理工大学",2,03:56:52,"00:26:13 (-2)",,,,,(-3),,,,02:50:39,
440,"team289 江西师范大学",2,03:57:02,"00:31:29 (-2)",,,,,"02:25:33 (-1)",,,,(-6),
441,"team391 长安大学",2,04:05:04,"00:09:03 (-2)",,,(-1),,03:16:01,,,,(-5),
442,"team151 浙大宁波理工学院",2,04:05:24,00:12:14,(-44),,,,"02:53:10 (-3)",,,,,
443,"team1140 北京邮电大学",2,04:05:53,"00:17:28 (-1)",,,,,"02:48:25 (-2)",,,,,
444,"team402 北京邮电大学",2,04:06:58,00:09:53,(-22),,,,,,(-10),,"03:37:05 (-1)",
445,"team1112 南阳理工学院",2,04:07:27,00:08:31,(-2),,,,03:58:56,,,,,
446,"team215 成都东软学院",2,04:13:03,"00:24:06 (-2)",,,,,,,,,"02:48:57 (-1)",
447,"team881 中南大学",2,04:14:07,"00:26:26 (-3)",(-3),,,,02:47:41,,,,(-3),
448,"team147 浙大城市学院",2,04:21:07,00:09:28,,(-10),,,04:11:39,,,,(-2),
449,"team200 中山市迪茵公学",2,04:23:34,"00:28:15 (-1)",(-1),,,,"03:15:19 (-1)",,,,(-1),
450,"team094 北京化工大学",2,04:25:49,"00:33:52 (-3)",(-4),,,,02:51:57,,,,,
451,"team461 东北师范大学",2,04:26:31,00:12:46,,,,,"03:53:45 (-1)",,,,,
452,"team894 青岛科技大学",2,04:30:21,"00:33:35 (-2)",(-3),(-2),,,,,,,03:16:46,
453,"team146 浙大城市学院",2,04:30:43,"00:34:44 (-6)",,01:55:59,,,,,(-3),,,
454,"team693 同济大学",2,04:34:11,00:26:18,,,,,,,,,"03:47:53 (-1)",
455,"team1060 上海师范大学",2,04:34:21,"00:13:57 (-1)",,(-7),,,"03:00:24 (-3)",,,,(-1),
456,"team554 福州大学",2,04:36:33,00:17:16,(-7),,,,"03:59:17 (-1)",,,,,
457,"team557 福州大学",2,04:42:01,"00:25:30 (-2)",(-2),,,,"03:16:31 (-1)",,,,(-2),
458,"team727 安徽大学",2,04:46:43,"00:11:46 (-2)","02:54:57 (-3)",(-2),,,,,,,(-7),
459,"team458 上海海洋大学",2,04:47:10,00:09:36,(-3),,,,"03:37:34 (-3)",,,,(-2),
460,"team441 安徽工业大学",2,04:49:32,00:21:36,,,,,"04:07:56 (-1)",,,,(-5),
461,"team408 北京邮电大学",2,04:49:36,00:10:27,(-1),(-1),,,"04:19:09 (-1)",,,,(-6),
462,"team995 浙江理工大学",2,04:49:50,"00:41:40 (-1)",,(-1),,,,,,,03:48:10,
463,"team813 南京邮电大学",2,04:51:14,"00:23:09 (-2)",(-4),(-2),,,(-2),,,,03:48:05,
464,"team429 浙江万里学院",2,04:54:23,"00:19:03 (-3)",(-8),,,,"02:55:20 (-2)",,,,,
465,"team556 福州大学",2,05:05:25,"00:36:29 (-6)",,(-15),,,02:28:56,,,,,
466,"team612 哈尔滨理工大学",2,05:05:47,"00:50:42 (-5)",,,,,(-32),,,,"01:55:05 (-2)",
467,"team649 南通大学",2,05:06:42,"00:12:51 (-1)","03:33:51 (-3)",,,,(-2),,,,,
468,"team1072 中山市中山纪念中学",2,05:07:47,"00:56:08 (-2)",,,,,,,,,"02:51:39 (-2)",
469,"team347 天津工业大学",2,05:07:59,"00:44:17 (-4)",,,,,03:03:42,,,,(-22),
470,"team451 河海大学",2,05:08:39,00:32:47,"03:35:52 (-3)",,,,(-2),,,,,
471,"team366 中南民族大学",2,05:08:54,00:15:23,(-1),,,,,,,,"03:33:31 (-4)",
472,"team135 南京信息工程大学",2,05:14:36,00:12:34,,,,,"04:22:02 (-2)",,,,(-4),
473,"team114 福建工程学院",2,05:18:04,"00:44:41 (-4)",(-3),,,,"02:33:23 (-2)",,,,,
474,"team599 天津大学",2,05:18:14,"00:50:36 (-5)",,,,,"01:47:38 (-3)",,,,(-8),
475,"team096 北京化工大学",2,05:19:51,"00:20:08 (-2)",,,,,"03:59:43 (-1)",,,,(-4),
476,"team810 南京邮电大学",2,05:20:03,"00:29:39 (-1)",,,,,,,,,"03:30:24 (-3)",
477,"team144 浙大城市学院",2,05:21:12,"00:15:57 (-1)",,(-17),,,04:45:15,,,,,
478,"team773 河南工业大学",2,05:24:37,"00:14:31 (-1)",,,,,(-3),,,,"02:30:06 (-7)",
479,"team346 天津工业大学",2,05:25:35,"00:44:30 (-1)",(-3),,,,"04:01:05 (-1)",,,,,
480,"team600 天津大学",2,05:29:01,"00:19:18 (-2)",,(-5),,,"03:49:43 (-2)",,,,,
481,"team212 中国传媒大学",2,05:30:07,00:15:59,,(-4),,,"04:14:08 (-3)",,,,(-2),
482,"team512 宁波大学",2,05:30:42,"00:51:52 (-2)",,(-1),,,03:58:50,,,,,
483,"team264 苏州大学",2,05:32:30,"00:14:29 (-2)",,"03:58:01 (-2)",,,(-1),,,,(-1),
484,"team287 华东师范大学",2,05:37:30,"00:25:40 (-1)",,,,,(-1),,,,"03:51:50 (-3)",
485,"team044 浙江工业大学",2,05:37:51,"00:35:37 (-3)",(-5),,,,"03:02:14 (-3)",,,,(-8),
486,"team485 佛山科学技术学院",2,05:41:09,"00:08:11 (-1)",(-15),,,,"03:12:58 (-6)",,,,(-21),
487,"team325 合肥学院",2,05:42:53,"00:36:20 (-5)",(-3),,,,"02:46:33 (-2)",,,,(-3),
488,"team399 西安电子科技大学",2,05:49:39,00:12:50,"03:36:49 (-6)",,,,(-1),,,,(-4),
489,"team728 安徽大学",2,05:52:27,"00:40:51 (-8)",(-15),,,,"01:51:36 (-2)",,,,,
490,"team407 北京邮电大学",2,05:53:50,"00:39:19 (-4)",,(-6),,,03:54:31,,,,(-5),
491,"team440 重庆工程学院",2,05:54:13,"00:31:41 (-6)",(-10),,,,(-1),,,,"03:02:32 (-1)",
492,"team918 成都理工大学",2,05:54:31,"00:36:57 (-2)",(-1),,,,"03:57:34 (-2)",,,,(-4),
493,"team516 宁波大学",2,05:56:05,"00:34:09 (-4)",(-1),(-27),,,04:01:56,,,,(-1),
494,"team118 黑龙江大学",2,05:56:27,"00:20:50 (-1)",,,,,"04:35:37 (-2)",,,,(-1),
495,"team1081 南京理工大学",2,06:03:58,"00:16:20 (-1)","04:47:38 (-2)",,(-1),,,,,,(-2),
496,"team194 广东工业大学",2,06:07:31,"00:13:09 (-3)","03:34:22 (-4)",,,,(-5),,,,,
497,"team227 徐州工程学院",2,06:08:21,00:07:58,,,,,"04:40:23 (-4)",,,,(-5),
498,"team885 中南大学",2,06:11:24,"00:12:55 (-2)",(-1),,,,"04:58:29 (-1)",,,,,
499,"team093 北京化工大学",2,06:11:55,00:05:24,,,,,"04:06:31 (-6)",,,,,
500,"team221 北京交通大学",2,06:14:13,"00:54:08 (-3)",,,(-1),,,,,,"03:40:05 (-2)",
501,"team1048 华南师范大学",2,06:18:09,"00:22:14 (-2)",(-6),,,,"03:55:55 (-4)",,,,(-2),
502,"team1132 浙江理工大学",2,06:22:47,"00:37:36 (-2)",,"04:05:11 (-3)",,,,,,,(-4),
503,"team665 湖南城市学院",2,06:24:20,"00:23:11 (-3)",,"03:41:09 (-4)",(-2),,(-3),,,,,
504,"team337 暨南大学",2,06:24:41,"00:24:00 (-2)",(-1),"03:40:41 (-5)",,,,,,,,
505,"team618 南昌大学",2,06:25:21,"00:24:54 (-2)",,"04:00:27 (-4)",,,(-3),,,,(-1),
506,"team414 北京邮电大学",2,06:26:19,"00:37:09 (-4)",(-1),,,,(-6),,,,04:29:10,
507,"team489 莆田学院",2,06:27:10,"00:30:18 (-2)",(-1),,(-4),,"04:56:52 (-1)",,,,,
508,"team1058 大连大学",2,06:29:05,"00:37:39 (-3)",,,,,"03:51:26 (-3)",,,,,
509,"team273 安阳工学院",2,06:34:14,"00:16:02 (-1)",,,,,,,,,"02:58:12 (-9)",
510,"team195 广东工业大学",2,06:35:42,"00:18:42 (-1)",(-8),,,,(-1),,,,"03:57:00 (-6)",
511,"team189 广东工业大学",2,06:41:58,"00:28:12 (-2)","04:33:46 (-3)",,,,(-3),,,,,
512,"team1029 南京理工大学",2,06:45:08,"00:16:13 (-1)",,(-2),,,"04:48:55 (-4)",,,,(-4),
513,"team598 天津大学",2,06:45:35,"01:04:01 (-7)",(-5),,,,03:21:34,,,(-1),(-9),
514,"team1038 西北农林科技大学",2,06:51:27,"00:18:17 (-1)",,,,,"04:53:10 (-4)",,,,(-4),
515,"team386 浙江科技学院",2,06:56:18,"00:47:06 (-3)","04:29:12 (-2)",,,,,,,,,
516,"team465 武汉大学",2,07:01:23,"01:06:36 (-2)",(-1),,,,(-5),,,,"04:54:47 (-1)",
517,"team1142 山河大学",2,07:05:24,"00:44:07 (-1)",,,,,,,,,"04:21:17 (-5)",
518,"team090 武汉大学",2,07:08:15,00:21:56,,(-6),,,"04:46:19 (-6)",,,,,
519,"team625 绍兴文理学院",2,07:08:50,"01:23:56 (-11)",,,,,,,,,02:04:54,
520,"team145 浙大城市学院",2,07:17:30,"00:28:26 (-5)",,(-2),,,"04:49:04 (-1)",,,,(-4),
521,"team631 中国地质大学（武汉）",2,07:41:00,"00:55:18 (-6)",,,,,04:45:42,,,,,
522,"team936 华南师范大学",2,07:47:02,"00:40:07 (-1)",,(-4),,,"04:46:55 (-6)",,,,,
523,"team338 暨南大学",2,07:47:49,"00:19:49 (-2)",(-8),(-4),,,"04:28:00 (-7)",,,,,
524,"team166 韶关学院",2,07:59:15,"01:36:27 (-5)",04:42:48,,,,(-4),,,,(-5),
525,"team462 东北师范大学",2,08:00:33,"00:29:49 (-12)",(-8),,,,"03:10:44 (-1)",(-1),(-6),,,
526,"team083 华东理工大学",2,08:06:26,"00:31:30 (-1)",,,,,,,,,"04:54:56 (-7)",
527,"team024 东北大学",2,08:13:30,00:08:51,(-27),"04:44:39 (-10)",,,,,,,,
528,"team782 深圳市耀华实验学校",2,08:24:57,"03:23:29 (-2)",,,,,"04:01:28 (-1)",,,,,
529,"team007 个人信息账号",2,09:09:46,"00:11:57 (-2)","04:57:49 (-10)",,,,(-13),,,(-1),(-2),
530,"team1041 南昌理工学院",2,09:52:57,"00:22:38 (-5)",(-10),,,,"04:30:19 (-10)",,,,,
531,"team481 北方工业大学",2,10:01:19,"01:36:55 (-10)",,,,,"04:24:24 (-2)",,,,(-4),
532,"team098 北京化工大学",2,10:09:17,"00:25:57 (-3)",,,,,"04:23:20 (-13)",,,,,
533,"team610 哈尔滨理工大学",2,10:14:17,"00:41:33 (-9)",(-13),,,,(-9),,,,"03:52:44 (-8)",
534,"team345 天津工业大学",2,10:50:04,"00:44:02 (-3)",(-2),"04:26:02 (-14)",,,,,,,(-1),
535,"team690 安徽师范大学",2,12:59:02,"02:24:24 (-3)",(-1),,,,"04:54:38 (-14)",,,,,
536,"team148 浙大城市学院",2,14:09:42,"01:01:26 (-4)",(-4),"04:48:16 (-21)",,,(-1),,,,,
537,"team359 湖南警察学院",2,15:56:51,"01:50:57 (-24)",,(-4),,,"03:25:54 (-8)",,,,(-1),
538,"team235 浙江工商大学",2,35:20:05,"00:14:45 (-6)",(-2),(-1),(-4),,"04:45:20 (-85)",,(-1),,(-30),
539,"team068 常熟理工学院",1,00:06:45,00:06:45,,,,(-5),(-4),,,,,
540,"team755 上海大学",1,00:06:53,00:06:53,,,,,,,,,(-3),
541,"team1040 西北农林科技大学",1,00:07:07,00:07:07,(-2),,,,,,,,,
542,"team626 绍兴文理学院",1,00:07:15,00:07:15,,,,,(-1),,,,(-8),
543,"team753 上海大学",1,00:07:17,00:07:17,,,,,,,,,(-1),
544,"team859 长春理工大学",1,00:07:58,00:07:58,(-1),,,,,,,,,
545,"team519 武汉纺织大学",1,00:08:35,00:08:35,,,,,,,,,,
546,"team1059 武汉大学",1,00:08:59,00:08:59,,,,,(-1),,,,(-6),
547,"team153 浙大宁波理工学院",1,00:09:18,00:09:18,,(-4),,,,,,,,
548,"team005 扬州大学",1,00:09:22,00:09:22,(-2),,(-1),,,,,,(-1),
549,"team025 东北大学",1,00:09:47,00:09:47,(-4),(-11),,,,(-1),(-2),,(-3),(-1)
550,"team883 中南大学",1,00:09:58,00:09:58,,,,,,,,,,
551,"team634 成都信息工程大学",1,00:10:07,00:10:07,,,,,,,,,,
552,"team291 青岛大学",1,00:10:24,00:10:24,(-2),(-1),,,(-20),,,,(-13),
553,"team234 浙江工商大学",1,00:10:52,00:10:52,,,,,(-1),,,,(-13),
554,"team858 长春理工大学",1,00:10:53,00:10:53,(-24),,(-3),,(-7),,,,(-2),
555,"team632 山东大学（威海）",1,00:11:04,00:11:04,,,,,,,,,(-4),
556,"team265 苏州大学",1,00:11:22,00:11:22,,(-8),,,(-18),,,(-1),(-1),
557,"team374 重庆邮电大学",1,00:11:27,00:11:27,,,,,(-11),,,,(-7),
558,"team749 上海理工大学",1,00:11:30,00:11:30,,(-2),,,,,,,,
559,"team152 浙大宁波理工学院",1,00:11:35,00:11:35,(-7),,,,(-1),,,,,
560,"team537 南京工业大学",1,00:11:35,00:11:35,(-3),(-8),,,(-7),,,,(-2),
561,"team031 浙江中医药大学",1,00:11:59,00:11:59,,,,,,,,,(-2),
562,"team210 中国传媒大学",1,00:12:17,00:12:17,(-11),,,,(-3),,,,,
563,"team754 上海大学",1,00:12:19,00:12:19,,,,,(-1),,,,,
564,"team339 暨南大学",1,00:12:28,00:12:28,(-3),(-15),,,,,,,(-9),
565,"team615 哈尔滨理工大学",1,00:12:49,00:12:49,(-1),,,,,,,,(-2),
566,"team157 浙大宁波理工学院",1,00:13:09,00:13:09,(-16),(-1),(-3),,(-4),,,,(-1),
567,"team506 西南财经大学",1,00:13:09,00:13:09,,,,,,,,,(-4),
568,"team476 北方工业大学",1,00:13:28,00:13:28,(-9),,(-2),,,,,,,
569,"team917 成都理工大学",1,00:13:46,00:13:46,(-1),(-2),,,(-2),,,,,
570,"team202 南昌航空大学",1,00:14:17,00:14:17,(-1),,,,(-1),,,,(-19),
571,"team549 绍兴文理学院",1,00:14:44,00:14:44,,,,,,,,,(-5),
572,"team667 湖南城市学院",1,00:14:45,00:14:45,,,,,,,,,(-4),
573,"team216 成都东软学院",1,00:15:12,00:15:12,,,,,(-2),,,,,
574,"team868 五邑大学",1,00:15:53,00:15:53,,,,,,,,,(-1),
575,"team333 浙江财经大学",1,00:16:02,00:16:02,,,,,(-1),,,,(-4),
576,"team1043 南昌理工学院",1,00:16:06,00:16:06,,,,,(-2),,,,,
577,"team445 安徽工业大学",1,00:16:21,00:16:21,,,,,,,,,(-1),
578,"team126 山东理工大学",1,00:17:09,00:17:09,,,,,,,,,,
579,"team1133 浙江理工大学",1,00:17:25,00:17:25,,,,,,,,,(-5),
580,"team377 中原工学院",1,00:17:32,00:17:32,(-21),,,,(-2),,,,,
581,"team268 苏州大学",1,00:18:08,00:18:08,,,,,,,,,(-2),
582,"team1042 南昌理工学院",1,00:18:59,00:18:59,(-5),,,,,,,,,
583,"team299 嘉兴学院",1,00:20:08,00:20:08,,,,,,,,,,
584,"team664 湖南城市学院",1,00:21:07,00:21:07,,,,,(-5),,,,,
585,"team743 武昌理工学院",1,00:23:12,00:23:12,,,,,,,,,(-6),
586,"team923 华南师范大学",1,00:23:18,00:23:18,,,,,(-2),,,,(-4),
587,"team890 青岛科技大学",1,00:24:10,00:24:10,,,,,,,,,(-2),
588,"team911 国防科技大学",1,00:25:22,00:25:22,,,,,,,,,,
589,"team630 中国地质大学（武汉）",1,00:25:37,00:25:37,(-12),,,,,,,,(-1),
590,"team706 吉林大学",1,00:26:36,00:26:36,,,,(-2),,,,,,
591,"team547 大连海事大学",1,00:26:39,00:26:39,,,,,,,,,(-5),
592,"team1044 南昌理工学院",1,00:28:04,00:28:04,,,,,,,,,,
593,"team970 中山市中山纪念中学",1,00:29:13,00:29:13,,,,,,,,,,
594,"team442 安徽工业大学",1,00:29:44,"00:09:44 (-1)",,,,,(-2),,,,(-4),
595,"team880 中南大学",1,00:30:09,"00:10:09 (-1)",,,,,,,,,,
596,"team1137 华东师范大学",1,00:30:35,,,,,,,,,,00:30:35,
597,"team369 广东东软学院",1,00:31:08,"00:11:08 (-1)",(-1),,,,,,,,,
598,"team851 江苏科技大学",1,00:31:14,"00:11:14 (-1)",,,,,,,,,,
599,"team843 西南科技大学",1,00:31:46,"00:11:46 (-1)",(-3),,,,(-1),,,,(-6),
600,"team203 南昌航空大学",1,00:31:51,"00:11:51 (-1)",,,,,(-1),(-19),,,,
601,"team288 江西师范大学",1,00:31:53,"00:11:53 (-1)",(-4),,,,(-2),,,,(-2),
602,"team082 衡水学院",1,00:32:36,"00:12:36 (-1)",,,,,,,,,,
603,"team1039 西北农林科技大学",1,00:32:46,"00:12:46 (-1)",,,(-1),,,,,,,
604,"team929 华南师范大学",1,00:32:51,"00:12:51 (-1)",(-1),,,,,,(-2),,(-10),
605,"team380 武汉科技大学",1,00:32:56,"00:12:56 (-1)",,(-1),(-1),,(-3),,,,,
606,"team238 鲁东大学",1,00:33:07,"00:13:07 (-1)",(-1),,,,(-16),,,,(-14),
607,"team809 南京邮电大学",1,00:33:12,"00:13:12 (-1)",(-5),(-4),,,,,,,(-28),
608,"team622 南昌大学",1,00:33:56,"00:13:56 (-1)",(-1),,(-3),,(-5),,,,(-15),
609,"team745 嘉应学院",1,00:34:05,"00:14:05 (-1)",(-51),,,,(-8),,,,,
610,"team639 重庆科技学院",1,00:34:58,"00:14:58 (-1)",,(-2),,,,,,,,
611,"team922 华南师范大学",1,00:35:13,"00:15:13 (-1)",,(-8),,,,,,,,
612,"team1017 杭州电子科技大学",1,00:35:26,"00:15:26 (-1)",,,,,,,,,,
613,"team127 山东理工大学",1,00:36:01,"00:16:01 (-1)",(-5),,,,(-4),,,,(-1),
614,"team683 华中师范大学",1,00:36:08,"00:16:08 (-1)",,,,,(-3),,,,(-10),
615,"team267 苏州大学",1,00:36:14,"00:16:14 (-1)",,,,,,,,,(-1),
616,"team916 成都理工大学",1,00:36:37,"00:16:37 (-1)",,,,,,,,,(-3),
617,"team192 广东工业大学",1,00:37:43,"00:17:43 (-1)",(-3),,,,(-9),,,,,
618,"team919 成都理工大学",1,00:37:53,00:37:53,(-3),,,,(-1),,,,,
619,"team635 成都信息工程大学",1,00:38:17,"00:18:17 (-1)",(-18),,,,,,,,(-7),
620,"team474 北方工业大学",1,00:38:45,"00:18:45 (-1)",,,,,,,,,(-4),
621,"team604 天津大学",1,00:39:10,"00:19:10 (-1)",(-9),,,,(-8),,,,(-3),
622,"team271 安阳工学院",1,00:39:27,"00:19:27 (-1)",(-7),(-1),,,(-17),,,,,
