Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
69,"team979 中山市中山纪念中学",7,20:48:26,"00:09:12 (-1)","03:57:50 (-7)",02:49:55,"04:08:09 (-9)",(-2),00:47:35,,"02:03:36 (-2)",,00:32:09,
70,"team418 北京邮电大学",7,21:42:35,"00:11:51 (-1)","04:42:58 (-2)",04:07:47,02:14:05,,"03:51:00 (-2)",(-3),"03:54:36 (-1)",,00:40:18,
71,"team528 华中科技大学",7,24:20:30,"00:25:00 (-2)",00:12:32,"04:41:02 (-16)","03:37:36 (-7)","02:33:30 (-2)","01:45:54 (-1)",,(-2),,"01:24:56 (-1)",
72,"team699 武汉大学",7,26:43:01,00:08:23,01:00:03,(-2),01:36:55,"02:45:02 (-2)",00:54:43,"03:15:47 (-46)",(-14),(-6),"00:42:08 (-1)",
73,"team307 南京外国语学校",7,28:16:56,"00:08:27 (-6)",00:27:52,(-16),01:20:08,"04:46:22 (-13)",00:31:36,"03:13:30 (-31)",(-38),,01:09:01,
74,"team072 北京理工大学",7,37:52:37,"00:39:50 (-1)",00:58:29,(-14),"01:39:20 (-4)",,"02:09:56 (-2)","03:36:27 (-57)","04:58:01 (-5)",,"00:30:34 (-1)",
75,"team879 复旦大学",6,07:09:08,00:12:19,"00:33:34 (-1)",02:36:47,01:41:13,,00:56:08,,,,00:49:07,
76,"team731 四川大学",6,07:53:32,"00:10:03 (-1)","00:28:51 (-1)",(-3),01:37:22,03:07:46,01:03:17,(-1),(-4),,00:46:13,
77,"team109 东华大学",6,08:34:21,00:05:39,00:54:04,03:07:43,"01:13:36 (-1)",,01:54:15,,,,"00:39:04 (-1)",
78,"team595 天津大学",6,08:51:26,00:08:22,"01:01:55 (-2)",(-4),01:21:31,,01:33:06,,03:14:15,,00:52:17,
79,"team907 福建省厦门双十中学",6,09:04:53,"00:06:39 (-1)","00:53:36 (-1)","02:08:18 (-1)","01:26:52 (-4)",(-5),01:17:30,,,,"00:31:58 (-1)",
80,"team319 南京外国语学校",6,09:21:44,00:11:03,00:30:37,,"01:31:41 (-1)",01:55:19,"02:16:58 (-6)",(-1),,,00:36:06,
81,"team656 东南大学",6,09:31:02,00:07:07,00:22:25,"03:19:22 (-4)","01:28:08 (-1)",,"00:43:53 (-1)",,,,"01:10:07 (-1)",
82,"team139 南京信息工程大学",6,09:37:25,00:07:09,"00:28:20 (-1)",03:20:39,02:34:28,,"01:28:10 (-1)",,(-2),,"00:38:39 (-1)",
83,"team420 湖南大学",6,09:51:38,00:07:49,00:29:23,03:36:27,"02:24:35 (-4)",(-3),01:06:35,,(-1),,00:46:49,
84,"team103 浙江师范大学",6,10:13:21,00:05:44,"00:41:22 (-1)",03:18:53,03:12:25,,01:30:52,,(-3),,01:04:05,
85,"team012 华东师范大学",6,10:20:28,00:17:19,01:25:02,,01:38:46,"02:39:12 (-1)","02:49:01 (-2)",,,,00:31:08,
86,"team315 南京外国语学校",6,10:24:43,"00:22:42 (-1)","01:12:15 (-1)",,"02:57:52 (-1)",,00:47:38,03:21:45,,,00:42:31,
87,"team059 信阳师范学院",6,11:04:35,"00:25:37 (-3)",01:02:46,(-2),02:08:32,"03:00:31 (-1)",01:32:48,,(-2),,"01:14:21 (-1)",
88,"team379 武汉科技大学",6,11:20:50,00:08:03,"01:17:49 (-1)",(-5),00:33:53,"03:58:53 (-4)","01:45:27 (-1)",,,,01:36:45,
89,"team568 电子科技大学",6,11:26:38,00:06:25,"01:01:12 (-1)","03:52:23 (-2)",02:13:34,,01:44:05,,(-1),,01:28:59,
90,"team908 福建省厦门双十中学",6,11:52:11,"00:08:26 (-1)","02:11:35 (-3)",(-4),00:33:36,(-1),02:17:43,,"04:19:46 (-2)",,00:21:05,
91,"team1030 东北大学秦皇岛分校",6,12:09:00,"00:13:47 (-2)","01:04:28 (-1)",(-4),"02:19:51 (-1)",04:16:01,"01:07:46 (-1)",,(-4),,"00:47:07 (-2)",
92,"team261 苏州大学",6,12:14:59,"00:21:39 (-1)",00:36:04,(-3),02:21:03,,01:17:23,,04:29:47,,"02:09:03 (-2)",
93,"team956 厦门大学",6,12:23:33,"00:05:21 (-1)",02:11:22,,"02:03:03 (-1)",,"01:19:07 (-2)",,"03:59:45 (-2)",,00:44:55,
94,"team468 华南理工大学",6,12:28:05,00:08:40,"00:38:39 (-1)",04:15:20,02:35:22,,"02:19:08 (-1)",,(-7),,"01:30:56 (-1)",
95,"team079 北京理工大学",6,12:35:24,"00:17:38 (-2)","00:57:25 (-3)","04:25:53 (-3)","00:45:44 (-1)",,01:24:24,,(-7),,"01:04:20 (-2)",
96,"team262 苏州大学",6,12:50:33,00:08:28,"01:43:21 (-1)",02:36:22,(-7),"04:27:16 (-4)",01:04:46,,,,"00:50:20 (-1)",
97,"team564 电子科技大学",6,13:03:30,"00:11:43 (-1)","03:32:37 (-3)","03:23:39 (-1)",01:51:58,,"01:20:49 (-1)",,,,00:42:44,
98,"team318 南京外国语学校",6,13:04:16,00:31:01,"01:28:35 (-2)",(-13),"02:35:58 (-1)",(-4),02:26:33,(-5),03:53:33,,"00:48:36 (-1)",
99,"team785 温州中学",6,13:09:14,00:07:23,"01:19:15 (-4)",(-8),"02:15:08 (-3)",,"01:41:41 (-1)",(-1),03:31:45,,01:34:02,
100,"team1079 大连理工大学",6,13:24:35,00:08:40,"00:59:02 (-5)","04:31:48 (-2)","02:20:14 (-2)",,01:22:44,,(-4),,01:02:07,
101,"team946 杭州第二中学",6,13:24:42,"00:48:31 (-1)",01:06:10,01:57:50,"03:13:31 (-2)",(-1),"02:28:21 (-3)",,(-1),,01:50:19,
102,"team403 北京邮电大学",6,13:25:53,00:07:17,00:37:03,03:02:28,"04:03:29 (-3)",,01:24:20,,,,03:11:16,
103,"team1111 温州中学",6,13:35:09,00:05:12,"01:15:49 (-1)","04:29:15 (-3)","02:27:13 (-2)",,01:51:32,,,,01:26:08,
104,"team708 吉林大学",6,13:40:02,00:08:23,"03:29:57 (-6)",(-5),"01:11:45 (-2)","03:46:28 (-3)",00:53:49,,(-3),,00:29:40,
105,"team689 郑州大学",6,13:41:09,"00:20:53 (-2)","00:59:45 (-2)","04:18:20 (-6)","02:01:14 (-1)",,"01:24:11 (-1)",,(-1),,00:36:46,
106,"team765 重庆大学",6,13:47:52,"00:13:58 (-1)","01:57:56 (-3)",(-16),02:22:11,04:54:13,"01:25:22 (-1)",,(-1),,"00:54:12 (-1)",
107,"team340 湘潭大学",6,14:04:28,00:09:27,02:40:49,,03:24:57,"04:30:24 (-2)",02:00:55,,,,00:37:56,
108,"team1074 雅礼中学",6,14:24:06,01:44:26,01:34:48,,02:43:41,04:04:57,02:20:56,(-1),,,01:55:18,
109,"team840 中国科学技术大学",6,14:41:06,"00:59:25 (-1)","03:28:04 (-15)",,01:28:21,,"01:20:46 (-3)",,00:53:25,,00:11:05,
110,"team220 北京交通大学",6,14:44:56,"00:13:02 (-1)",01:20:59,"04:38:08 (-6)","02:11:19 (-1)",,02:19:08,,(-2),,"00:42:20 (-2)",
111,"team673 南方科技大学",6,14:51:24,"00:32:00 (-1)","01:17:26 (-5)",,01:45:27,"04:47:54 (-2)",02:26:54,,,,"01:01:43 (-1)",
112,"team567 电子科技大学",6,15:06:12,00:10:25,"04:59:33 (-1)","03:39:47 (-2)",03:04:59,,01:18:35,,,,00:52:53,
113,"team523 华中科技大学",6,15:21:31,"00:12:18 (-2)","01:14:24 (-1)","04:41:24 (-1)","02:47:37 (-1)",,"03:10:58 (-1)",,,,01:14:50,
114,"team413 北京邮电大学",6,15:21:48,"00:17:34 (-1)","01:38:17 (-4)","04:28:25 (-1)","03:31:53 (-2)",,01:25:50,,(-1),,"00:59:49 (-1)",
115,"team802 南京邮电大学",6,15:32:14,00:08:57,"00:46:50 (-1)",04:12:07,02:28:40,,02:01:13,,,,"04:54:27 (-2)",
116,"team1084 西安交通大学",6,15:49:56,"00:06:01 (-1)",02:13:13,03:54:19,(-1),,03:05:45,,"04:30:25 (-1)",,01:20:13,
117,"team742 重庆一中",6,16:25:26,"00:11:59 (-3)","00:45:43 (-4)",(-5),02:15:22,,01:24:42,,"04:39:38 (-5)",,"02:08:02 (-3)",
118,"team491 深圳中学",6,16:33:16,00:05:33,00:22:19,(-4),02:51:54,"04:13:57 (-1)",02:35:37,,,,"02:23:56 (-11)",
119,"team406 北京邮电大学",6,16:49:02,"00:09:24 (-3)",(-4),"03:06:10 (-1)",01:59:46,"04:54:27 (-5)",02:30:02,,,,01:09:13,
120,"team1076 衡阳八中",6,16:50:57,"00:02:33 (-1)","02:07:02 (-6)","04:03:10 (-6)","02:24:52 (-1)",,"01:22:59 (-4)",,(-1),,00:50:21,
121,"team076 北京理工大学",6,17:11:23,00:04:32,"03:27:40 (-6)","04:57:44 (-2)","02:39:23 (-4)",,"00:29:21 (-1)",,,,01:12:43,
122,"team597 天津大学",6,17:20:36,00:07:24,04:28:57,"03:25:35 (-3)","03:30:20 (-4)",,02:20:33,,,,01:07:47,
123,"team223 北京交通大学",6,18:14:24,00:09:45,"02:30:08 (-4)","04:27:23 (-5)",03:21:11,,"02:07:40 (-3)",,(-1),,01:38:17,
124,"team060 武汉大学",6,18:15:44,"00:12:19 (-1)","02:00:40 (-6)",03:11:44,"02:44:26 (-3)",(-4),01:13:02,,,,"03:53:33 (-5)",
125,"team401 北京邮电大学",6,18:20:14,00:10:02,"03:04:44 (-4)","04:55:45 (-7)","04:30:57 (-2)",,00:49:24,,(-4),,00:29:22,
126,"team1073 雅礼中学",6,18:22:32,"01:44:17 (-1)","01:34:14 (-1)",,"02:43:30 (-1)","04:04:45 (-7)","02:20:43 (-1)",(-9),,,"01:55:03 (-1)",
127,"team1143 山河大学",6,18:41:01,"00:10:22 (-2)","04:59:22 (-8)",,02:45:02,,01:37:27,,04:39:38,,"00:49:10 (-1)",
128,"team886 中南大学",6,18:54:18,"00:10:32 (-2)","01:55:25 (-1)","04:23:17 (-1)","04:47:12 (-7)",,01:29:20,,,,"02:08:32 (-1)",
129,"team732 四川大学",6,20:03:04,00:07:25,"02:48:33 (-5)","04:05:16 (-2)","04:50:34 (-3)",,"03:35:57 (-1)",,,,00:55:19,
130,"team520 华中科技大学",6,21:54:39,"00:06:49 (-1)","02:05:28 (-7)","03:52:41 (-5)",(-15),,02:41:01,"04:56:43 (-1)",,,"02:11:57 (-4)",
131,"team947 杭州第二中学",6,22:47:36,00:04:51,"04:32:25 (-6)","04:41:39 (-5)","03:44:05 (-1)",,"01:54:12 (-1)",(-1),,,"02:30:24 (-3)",
132,"team073 北京理工大学",6,24:01:02,00:08:42,"01:18:26 (-3)",,"03:34:09 (-4)",,"02:33:19 (-1)","04:48:30 (-22)",,,"00:57:56 (-2)",
133,"team341 湘潭大学",6,24:23:18,00:13:05,"04:32:03 (-1)","04:42:37 (-11)","04:16:27 (-2)",,"03:09:56 (-2)",,,,02:09:10,
134,"team761 重庆大学",6,25:50:38,00:09:41,"01:09:52 (-2)",,"04:47:11 (-4)",,"01:38:11 (-1)","03:51:20 (-30)",,,01:54:23,
135,"team644 武汉大学",6,27:16:47,00:05:55,"02:31:04 (-4)",(-1),01:46:58,,"02:12:18 (-1)","04:37:55 (-42)",(-20),,00:22:37,
136,"team317 南京外国语学校",6,30:03:40,"00:17:58 (-4)","02:55:22 (-3)",(-11),02:26:01,,"01:31:49 (-1)","03:36:58 (-48)",,,00:35:32,
137,"team574 清华大学",5,04:56:17,00:15:01,"00:53:46 (-1)",(-6),01:40:19,,01:11:19,,(-1),,00:35:52,
138,"team784 温州中学",5,06:24:31,"00:10:02 (-1)","01:21:53 (-2)",(-2),"00:42:50 (-1)",(-9),"00:56:32 (-1)",,(-9),,01:33:14,
139,"team550 福州大学",5,06:37:36,"00:12:26 (-3)",00:29:27,(-8),"01:19:31 (-1)",,"01:16:23 (-1)",,,,"00:59:49 (-2)",(-2)
140,"team861 长沙理工大学",5,06:52:06,"00:16:35 (-1)",00:53:25,(-7),03:04:19,,01:26:34,,(-2),,"00:31:13 (-1)",
141,"team983 中山大学",5,07:00:49,00:05:38,"00:26:42 (-1)",(-9),01:52:32,,"01:30:10 (-1)",,(-4),,"02:05:47 (-1)",
142,"team551 福州大学",5,07:12:55,00:03:25,01:47:00,,02:55:38,(-1),01:50:54,,(-2),,00:35:58,
143,"team043 浙江工业大学",5,07:24:19,"00:14:22 (-1)",02:27:20,,02:39:50,(-6),00:34:10,,(-1),,01:08:37,(-1)
144,"team022 东北大学",5,07:49:19,00:07:17,01:56:01,02:48:16,(-2),(-3),02:08:06,,,,00:49:39,
145,"team846 哈尔滨工业大学（威海）",5,08:14:47,00:16:00,"01:16:28 (-1)",,"03:04:29 (-3)",(-1),01:21:08,,(-2),,"00:36:42 (-1)",
146,"team041 浙江工业大学",5,08:28:28,"00:20:53 (-2)",00:57:09,(-6),"03:02:20 (-1)",,01:46:24,,(-6),,01:21:42,
147,"team1070 重庆市育才中学",5,08:31:44,"00:17:33 (-2)",00:32:35,,"01:36:37 (-1)",,"01:12:06 (-1)",,,,"02:12:53 (-4)",
148,"team040 浙江省春晖中学",5,08:52:00,"00:12:57 (-2)","00:35:51 (-2)",(-14),"02:25:24 (-2)",,"01:32:44 (-2)",,,,01:25:04,
149,"team467 华南理工大学",5,09:26:48,00:09:40,"03:21:07 (-3)",,"02:01:02 (-1)",,"01:22:57 (-1)",,,,00:52:02,
150,"team525 华中科技大学",5,09:34:31,00:08:51,"03:11:52 (-4)",(-3),02:09:12,,01:29:45,,,,"00:54:51 (-1)",
151,"team133 南京信息工程大学",5,09:54:07,"00:06:25 (-1)","01:03:10 (-1)",(-5),"02:44:04 (-3)",,02:00:54,,,,"01:39:34 (-2)",
152,"team396 西安电子科技大学",5,09:55:52,00:18:35,"02:06:07 (-4)","01:10:32 (-1)",03:01:39,,01:38:59,,,,(-7),
153,"team650 东南大学",5,10:28:50,00:04:07,"01:18:56 (-2)",,"04:57:40 (-3)",,01:48:13,,,,00:39:54,
154,"team1031 东北大学秦皇岛分校",5,10:34:33,"00:13:14 (-2)","02:00:41 (-2)",(-2),"03:41:57 (-1)",,01:58:48,,,,00:59:53,
